"id","title","question","url","publishedDate","publishedYear","publishedMonth","charCount","paragraphCount","themes"
"9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","我爸爸去世，葬礼酒席是大伯操办的，礼金也是大伯他们记账收，我该不该问一下是否有多余的钱？","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","2026-07-17","2026","2026-07","898","25","family_kinship;money_property;ethics_norms;power_strategy;public_society;communication_conflict"
"359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","性格很内向，不善言辞的人，有什么办法可以和同事们搞好关系，拉近距离？","https://www.ifdian.net/p/ed6f1e387afc11f1a7eb52540025c377","2026-07-16","2026","2026-07","909","21","workplace_org;money_property;ethics_norms;power_strategy;education_growth;psychology_self;communication_conflict"
"8bc2c71a-1303-5254-a513-fdb710fb8876","小小红花","在感情上非常挑剔，该怎么发自内心地欣赏对方的闪光点而不是只关注对方的平庸？","https://www.ifdian.net/p/8a2ac9c67a4311f1887f5254001e7c00","2026-07-15","2026","2026-07","655","20","family_kinship;intimacy_gender;communication_conflict"
"3d0daabb-8f65-5e52-b6b0-03280864f723","史不绝书","世界有很多文明，为什么中国喜欢记录历史？","https://www.zhihu.com/question/9945672304/answer/2042201727336714267","2026-07-14","2026","2026-07","1236","29","family_kinship;power_strategy;education_growth;public_society"
"a604bf02-e52d-5e1f-91c6-81dfade38ed7","悼亡存活","江苏一公园就地取材，用无主墓碑铺登山路，碑面刻有「先父」「贤妻」等字样，这会对游客带来不良心理影响吗？","https://www.zhihu.com/question/2041099712179197278/answer/2041943218405773323","2026-07-14","2026","2026-07","597","12","family_kinship;money_property;ethics_norms;power_strategy;education_growth;psychology_self;public_society;communication_conflict"
"afd418f9-36d1-5652-8f90-188680e6cfbf","胜半子","华为发表「韬（τ）定律」，半导体技术实现新突破，具有哪些重要意义？对中国半导体产业发展有什么影响？","https://www.zhihu.com/question/2042176040638707165/answer/2042645041164837579","2026-07-14","2026","2026-07","786","17","workplace_org;psychology_self"
"ed1a358b-b31d-5945-b776-b8573ecaa0c4","松则久","待在一起时，对方（朋友，情侣，同事）频繁的分享自己喜欢的东西给你看而你却不感兴趣时，该怎么做?","https://www.zhihu.com/question/308348833/answer/2042325192739927037","2026-07-14","2026","2026-07","1139","25","family_kinship;intimacy_gender;workplace_org;power_strategy;education_growth;psychology_self;communication_conflict"
"03c701aa-9760-5272-9215-6de6a61ce6f9","尊者","如何判断男生是否真的尊重女性？","https://www.ifdian.net/p/c367153e797411f1812d52540025c377","2026-07-14","2026","2026-07","864","17","intimacy_gender;ethics_norms;education_growth;public_society"
"361ab29e-ae77-522b-9c3f-1daf2618bd25","只管赢","“赢学”大行其道，其底层逻辑是什么？","https://www.zhihu.com/question/1921845110859105635/answer/2059407848682082591","2026-07-13","2026","2026-07","831","21","money_property;psychology_self"
"893754bc-52c0-5b80-9a90-3c8ad28acc68","45度c","如何看待「北师大与小红书联合发布调查报告，倡导社会构建更友好的青年婚恋环境」？","https://www.zhihu.com/question/2041502222035445096/answer/2041898320721958673","2026-07-13","2026","2026-07","2047","48","money_property;ethics_norms;power_strategy;psychology_self;public_society;communication_conflict"
"8db8f172-3520-5077-a078-2c9578ebaf39","一寸欢喜","作为一个母亲，青春期的儿子坚持要变性怎么办？","https://www.zhihu.com/question/2039110884006604997/answer/2041179100837058049","2026-07-13","2026","2026-07","2427","52","family_kinship;intimacy_gender;workplace_org;money_property;ethics_norms;power_strategy;education_growth;psychology_self;communication_conflict"
"c5387c74-4eb0-58ff-a62c-82d469118f33","轻而圆","有满足以下要求的炒锅推荐吗：无涂层、无毒、不粘锅、不生锈、油烟少、不太贵？","https://www.zhihu.com/question/36982220/answer/2041125371681183721","2026-07-13","2026","2026-07","1225","25","communication_conflict"
"da325fde-b89e-50ce-9a2b-e846efc4955f","群英","为啥感觉当今社会上的有英雄气、豪气的男人越来越少了？","https://www.zhihu.com/question/1982007173811814443/answer/2041528985348297545","2026-07-13","2026","2026-07","1408","40","family_kinship;workplace_org;money_property;ethics_norms;power_strategy;public_society"
"a16da506-5c08-5099-816e-25262f8afb82","小炮仗","理智上告诉自己这个人不行，可就是有小情绪一遍遍得想他怎么办?","https://www.ifdian.net/p/635440ee78ad11f1b9a452540025c377","2026-07-13","2026","2026-07","559","18","family_kinship;power_strategy;psychology_self"
